accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_i,quat_j,quat_k,quat_real,distance,top1,top2,top3,top4,btm1,btm2,btm3,btm4,btm5,label,,,,
-9.21875,2.38671875,0.07421875,-0.015625,-0.0234375,-0.14453125,0.371887207,0.627807617,-0.166320801,0.663269043,260.8,73.518,174.959,182.364,231.316,63.746,199.926,184.388,281.106,176.979,0,,,,
-9.21875,2.38671875,0.07421875,-0.015625,-0.0234375,-0.14453125,0.371887207,0.627807617,-0.166320801,0.663269043,257.8,73.518,174.959,182.364,231.316,63.746,199.926,184.388,281.106,176.979,0,,,,
-10.296875,2.69140625,-1.34375,-0.26171875,0.00390625,-0.02734375,0.374389648,0.625976563,-0.162109375,0.664550781,244.3,14.732,142.636,241.227,264.015,72.312,86.635,58.021,87.069,98.427,0,,,,
-9.71875,2.8828125,-0.0390625,-0.32421875,0.29296875,0.357421875,0.328674316,0.635742188,-0.149841309,0.682128906,222.3,11.159,130.828,132.422,137.689,76.303,130.959,500,140.886,172.134,0,,,,
-9.71875,2.8828125,-0.0390625,-0.32421875,0.29296875,0.357421875,0.328674316,0.635742188,-0.149841309,0.682128906,148.6,77.725,100.86,260.985,500,77.918,125.279,288.969,186.461,95.651,1,,,,
-9.71875,2.8828125,-0.0390625,-0.32421875,0.29296875,0.357421875,0.328674316,0.635742188,-0.149841309,0.682128906,148.6,77.725,100.86,260.985,500,77.918,125.279,288.969,186.461,95.651,1,,,,
-8.6484375,2.76953125,-0.5,-1.234375,0.31640625,0.009765625,0.270019531,0.670898438,-0.085266113,0.68536377,39.1,77.46,194.099,187.896,500,76.139,123.047,233.917,162.001,94.629,1,,,,
-8.6484375,2.76953125,-0.5,-1.234375,0.31640625,0.009765625,0.270019531,0.670898438,-0.085266113,0.68536377,39.1,77.46,194.099,187.896,500,76.139,123.047,233.917,162.001,94.629,1,,,,
-8.6484375,2.76953125,-0.5,-1.234375,0.31640625,0.009765625,0.270019531,0.670898438,-0.085266113,0.68536377,38,77.46,194.099,187.896,500,76.139,123.047,233.917,162.001,94.629,1,,,,
-8.6484375,2.76953125,-0.5,-1.234375,0.31640625,0.009765625,0.270019531,0.670898438,-0.085266113,0.68536377,38,77.46,194.099,187.896,500,76.139,123.047,233.917,162.001,94.629,1,,,,
-9.0703125,2.73046875,-0.65234375,-1.462890625,0.34765625,-0.03515625,0.140869141,0.701660156,0.04486084,0.697021484,36.7,80.698,63.966,34.514,103.792,110.592,29.677,33.766,35.864,75.542,1,,,,
-9.0703125,2.73046875,-0.65234375,-1.462890625,0.34765625,-0.03515625,0.140869141,0.701660156,0.04486084,0.697021484,36.7,80.698,63.966,34.514,103.792,110.592,29.677,33.766,35.864,75.542,1,,,,
-9.640625,3.03515625,0.3046875,-1.6171875,0.365234375,-0.05859375,-0.098022461,0.701171875,0.266357422,0.654052734,36.7,80.698,63.966,34.514,103.792,110.592,29.677,33.766,35.864,75.542,1,,,,
-9.640625,3.03515625,0.3046875,-1.6171875,0.365234375,-0.05859375,-0.098022461,0.701171875,0.266357422,0.654052734,36.7,80.698,63.966,34.514,103.792,110.592,29.677,33.766,35.864,75.542,1,,,,
-8.9921875,2.80859375,-0.15625,-1.462890625,0.49609375,0.044921875,-0.124755859,0.693786621,0.282958984,0.65045166,36.7,28.925,27.772,104.303,104.712,27.473,107.623,32.016,115.515,500,1,,,,
-8.9921875,2.80859375,-0.15625,-1.462890625,0.49609375,0.044921875,-0.124755859,0.693786621,0.282958984,0.65045166,36.7,28.925,27.772,104.303,104.712,27.473,107.623,32.016,115.515,500,1,,,,
-9.21875,2.5,0.49609375,-0.013671875,0.056640625,0.029296875,-0.452880859,0.572509766,0.564697266,0.385009766,500,167.399,158.518,220.149,500,149.22,155.304,167.28,500,188.489,0,,,,
-9.19140625,2.234375,-0.9609375,0.201171875,0.03515625,0.193359375,-0.452087402,0.579650879,0.542297363,0.406799316,500,155.365,500,434.415,200.29,142.906,121.309,500,500,500,0,,,,
-7.38671875,2.1953125,-0.30859375,-0.224609375,-0.123046875,-0.208984375,-0.458679199,0.566345215,0.54473877,0.414855957,500,119.101,117.138,162.615,269.257,78.801,202.399,45.047,129.572,500,0,,,,
-7.38671875,2.1953125,-0.30859375,-0.224609375,-0.123046875,-0.208984375,-0.458679199,0.566345215,0.54473877,0.414855957,500,119.101,117.138,162.615,269.257,78.801,202.399,45.047,129.572,500,0,,,,
-8.875,2.0390625,0.03515625,-0.0078125,0.072265625,0.140625,-0.463134766,0.562683105,0.547363281,0.411499023,500,119.101,117.138,162.615,269.257,78.801,202.399,45.047,129.572,500,0,,,,
-8.875,2.0390625,0.03515625,-0.0078125,0.072265625,0.140625,-0.463134766,0.562683105,0.547363281,0.411499023,500,119.101,117.138,162.615,269.257,78.801,202.399,45.047,129.572,500,0,,,,
-9.875,2.578125,-1.34375,-0.20703125,0.0546875,0.01171875,-0.454589844,0.573364258,0.540405273,0.415344238,500,99.76,175.478,139.823,262.809,90.139,500,500,415.712,500,0,,,,
-10.22265625,2.5390625,-1.6484375,-0.208984375,-0.0078125,0.001953125,-0.45703125,0.570678711,0.543334961,0.412597656,500,89.551,149.673,291.721,224.643,87.437,166.507,500,295.45,173.875,0,,,,
-10.22265625,2.5390625,-1.6484375,-0.208984375,-0.0078125,0.001953125,-0.45703125,0.570678711,0.543334961,0.412597656,500,89.551,149.673,291.721,224.643,87.437,166.507,500,295.45,173.875,0,,,,
-8.6875,1.6953125,-0.0390625,0.0703125,-0.173828125,0.017578125,-0.456665039,0.554870605,0.564880371,0.405578613,500,89.551,149.673,291.721,224.643,87.437,166.507,500,295.45,173.875,0,,,,
-8.9921875,3.15234375,-0.8828125,0.173828125,0.16796875,-0.44921875,-0.431396484,0.588134766,0.537841797,0.422729492,500,80.126,120.9,250.399,238.864,94.756,263.487,165.129,129.029,206.427,0,,,,
-8.9921875,3.15234375,-0.8828125,0.173828125,0.16796875,-0.44921875,-0.431396484,0.588134766,0.537841797,0.422729492,500,80.126,120.9,250.399,238.864,94.756,263.487,165.129,129.029,206.427,0,,,,
-7.00390625,2.1953125,-0.078125,-0.21875,-0.0546875,-0.13671875,-0.425842285,0.581481934,0.539123535,0.43572998,500,80.126,120.9,250.399,238.864,94.756,263.487,165.129,129.029,206.427,0,,,,
-9.609375,2.6171875,-0.5390625,-0.056640625,0.08984375,-0.009765625,-0.420898438,0.589904785,0.537231445,0.43157959,500,131.699,100.95,500,414.502,87.825,219.516,500,221.462,205.801,0,,,,
-9.37890625,2.6171875,-0.00390625,-0.197265625,0.25,0.3203125,-0.423400879,0.591003418,0.53692627,0.428039551,500,131.699,100.95,500,414.502,87.825,219.516,500,221.462,205.801,0,,,,
-9.2578125,3.11328125,-0.578125,-0.25,-0.099609375,0.041015625,-0.440612793,0.586120605,0.544189453,0.407714844,500,91.125,500,161.637,421.596,91.235,276.167,159.217,500,95.291,0,,,,
-9.2578125,3.11328125,-0.578125,-0.25,-0.099609375,0.041015625,-0.440612793,0.586120605,0.544189453,0.407714844,500,91.125,500,161.637,421.596,91.235,276.167,159.217,500,95.291,0,,,,
